名称:唐山大地震,类型:剧情／历史／灾难,上映时间:2010-07-22
名称:上海堡垒,类型:科幻／爱情／战争,上映时间:2019-08-09
名称:与神同行2：因与缘,类型:动作／奇幻,上映时间:2018-08-01
名称:速度与激情7,类型:动作／惊悚／犯罪,上映时间:2015-04-12
名称:新喜剧之王,类型:剧情／喜剧,上映时间:2019-02-05
名称:阿特米斯的奇幻历险,类型:动作／冒险／家庭,上映时间:2020-06-12
名称:麦路人,类型:剧情,上映时间:2019-10-29
名称:无名之辈,类型:剧情／喜剧／犯罪,上映时间:2018-11-16
名称:命运之夜——天之杯II ：迷失之蝶,类型:剧情／动画／奇幻,上映时间:2019-07-12
名称:后来的我们,类型:剧情／爱情,上映时间:2018-04-28
名称:哆啦A梦：大雄的新恐龙,类型:动画,上映时间:2020-03
名称:光天化日,类型:动作／爱情／犯罪,上映时间:2019
名称:被光抓走的人,类型:剧情／爱情,上映时间:2019-12-13
名称:沉睡魔咒2,类型:冒险／家庭／奇幻,上映时间:2019-10-18
名称:阿凡达,类型:动作／科幻／冒险,上映时间:2010-01-04
名称:蝙蝠侠：黑暗骑士,类型:剧情／动作／科幻／惊悚／犯罪,上映时间:2008-07-14
名称:建国大业,类型:剧情／历史,上映时间:2009-09-16
名称:美国队长3,类型:动作／冒险／科幻,上映时间:2016-05-06
名称:家有喜事2020,类型:喜剧,上映时间:2020-01-25
名称:奇门遁甲,类型:喜剧／动作／奇幻,上映时间:2017-12-14
名称:鬼片王之再现凶榜,类型:恐怖,上映时间:1999-11-18
名称:钢铁侠3,类型:动作／科幻,上映时间:2013-05-01
名称:江湖儿女,类型:爱情／犯罪,上映时间:2018-09-21
名称:万达，残暴的催眠师,类型:喜剧／恐怖,上映时间:1969
名称:灭狐行动,类型:动作／剧情,上映时间:
名称:最好的我们,类型:爱情／青春,上映时间:2019-06-06
名称:变形金刚5：最后的骑士,类型:动作／冒险／科幻,上映时间:2017-06-23
名称:银翼杀手2049,类型:剧情／科幻／惊悚,上映时间:2017-10-27
名称:真·三国无双,类型:爱情,上映时间:2018
名称:泰坦尼克号,类型:剧情／爱情／灾难,上映时间:1998-04-03
名称:复仇者联盟,类型:动作／科幻／奇幻／冒险,上映时间:2012-05-05
名称:金刚狼3：殊死一战,类型:动作／冒险／科幻,上映时间:2017-03-03
名称:哪吒2,类型:剧情／喜剧／动画／奇幻,上映时间:
名称:哈利·波特与死亡圣器（下）,类型:奇幻／冒险,上映时间:2011-08-04
名称:海王,类型:动作／冒险／奇幻,上映时间:2018-12-07
名称:乘风破浪,类型:剧情／喜剧／冒险,上映时间:2017-01-28
名称:名侦探柯南特典：怪盗基德诞生的秘密,类型:剧情／悬疑／犯罪,上映时间:2010-04-24
名称:画壁,类型:剧情／动作／爱情／奇幻,上映时间:2011-09-29
名称:大约在冬季,类型:剧情／爱情,上映时间:2019-11-15
名称:智齿,类型:悬疑／犯罪,上映时间:2019
名称:寒战3,类型:剧情／动作／犯罪,上映时间:2019
名称:绿皮书,类型:剧情／喜剧／传记,上映时间:2019-03-01
名称:泰坦尼克号3D,类型:爱情／灾难／剧情,上映时间:2012-04-10
名称:快把我哥带走,类型:喜剧／奇幻,上映时间:2018-08-17
名称:半个喜剧,类型:爱情／喜剧,上映时间:2019-12-20
名称:当幸福来敲门,类型:剧情／家庭／传记,上映时间:2008-01-17
名称:比悲伤更悲伤的故事,类型:剧情／爱情,上映时间:2019-03-14
